document_id,name_comp,year,href_doc,status
98176d5e-186e-4778-b1dc-6725b81fba84,Henkel,2022,https://www.henkel.com/resource/blob/1804852/5055ed4c7729a3a6ae50c6169fc8f303/data/2022-annual-report.pdf,downloaded_manually
981ca55f-11a4-4b79-95c9-af66c676e083_2021,Londonmetric Property PLC,2021,https://www.londonmetric.com/sites/london-metric/files/report-presentation/2021/LMP_Annual_Report_2021_.pdf,downloaded_manually
98cc050a-30d7-4a79-bb5b-81da32af7e11_2021,GBL,2021,https://www.gbl.be/en/media/3749/en-GBL-RA2021_0.pdf,downloaded_manually
9a84ebb6-3b91-4f9b-a6e2-2965d0771e7a_2021,Svenska Handelsbanken,2021,https://vp292.alertir.com/afw/files/press/handelsbanken/202202250015-1.pdf,downloaded_manually
9bebbe79-166a-4b7a-b2c7-37f596e242c4,Harbour Energy,2022,https://www.harbourenergy.com/media/w4lcauvd/hbr-ara-22-new.pdf,downloaded_manually
9c0cb821-efd0-45a2-a387-1e2cb22c596c,RWE,2018,https://www.rwe.com/-/media/RWE/documents/05-investor-relations/finanzkalendar-und-veroeffentlichungen/2018-Q4/RWE-annual-report-2018.pdf,downloaded_manually
9d38166f-26db-48dd-9fe2-532ed9e524f5_2021,Nationalgrid,2021,https://www.nationalgrid.com/document/142166/download,downloaded_manually
9dcef2ce-5a5f-44c9-a210-cec7ee819a42,Future,2018,https://cms.futureplc.com/wp-content/uploads/2021/09/FY18-Annual-Report.pdf,downloaded_manually
9df18571-125c-4c18-b828-dfdfbeefcea8,Ericsson,2020,https://www.ericsson.com/494193/assets/local/investors/documents/2020/annual-report-2020-en.pdf,downloaded_manually
a0122722-dfe1-4b9b-be9c-5d08ccbedbd2,SKF,2019,https://investors.skf.com/sites/default/files/pr/SKF_AR19_ENG_bookmarks_.pdf,downloaded_manually
a0a5fb1b-ebc0-4f61-9765-ab963a8ad279,Siegfried,2019,https://www.annualreports.com/HostedData/AnnualReportArchive/s/siegfried_2019.pdf,downloaded_manually
a4c10505-5f7d-4a53-afa3-73ef79a97865,Holmen,2022,https://vp165.alertir.com/afw/files/press/holmen/202303066024-1.pdf,downloaded_manually
